StateID,State,adh_AUGavg,adh_JULavg,adh_JUNEavg,adh_MAYavg,adh_APRavg,Pop_2019,Hispanic,NHBlack,NHWhite,Age,PopDensity,DistancePolicy,tot_Cases_Jul,DistanceNone,DistanceStrict,DistCat,tot_cases_Apr,tot_cases_May,tot_cases_Jun,tot_cases_Aug,tot_cases_Sep,newCases_May,newCases_Jun,newCases_Jul,newCases_Aug,newCases_Sep,case_rate_May,case_rate_Jun,case_rate_Jul,case_rate_Aug,case_rate_Sep,EndStayHome,NoStayHomePolicy,NoHomeMay,MaskPolStart,MaskJunPol,MaskJulPol,MaskAugPol,MaskSepPol,MaskPolStop,tot_cases_Oct,newCases_Oct,case_rate_Oct,AdhSEPavg,Wk_case_rate_Sep,Wk_case_rate_Oct,Wk_case_rate_Aug,Wk_case_rate_Jul,Wk_case_rate_Jun,Wk_case_rate_May,Wk_MayHI,Wk_JunHI,Wk_JulHI,Wk_AugHI,Wk_SepHI,Wk_OctHI,maskGT75,maskSEP75,maskJUL75,maskAUG75,strictJunPol,strictJulPol,strictSeplPol,strictSepPol,strictAuglPol,strictAugPol
42,South Dakota,33.66666667,33.8,30.5,24.6,21.47,884659,3.6,1.9,82.3,37.2,12,None,8764,1,0,1,2449,4993,6764,13509,22389,2544,1771,2000,4745,8880,287.56843032174,200.190129756211,226.075810001368,536.364859228245,1003.77659640607,0,1,0,0,0,0,0,0,0,45992,23603,2668.03367173114,37.5,456.262089275488,1212.74257805961,243.802208740111,102.761731818804,90.9955135255505,130.712922873518,0,0,0,1,1,1,0,0,0,0,0,0,0, ,0, 
43,Tennessee,57.53333333,50.96666667,24.53,22.47,17.47,6829174,5.4,16.6,73.9,38.9,167,Recommen,105959,0,1,3,10735,23159,43509,154933,196139,12424,20350,62450,48974,41206,181.925369012416,297.986257195965,914.459054638233,717.129187219421,603.381902408695,5/1/2020,0,0,0,0,0,0,0,0,260672,64533,944.96054720527,55,274.264501094862,429.527521456941,325.967812372464,415.663206653742,135.448298725439,82.6933495510984,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
44,Texas,69.13333333,66,42.47,43.77,32.4,28995881,39.4,11.8,41.9,34.9,106.86,None,420946,1,0,1,28087,64287,159986,612969,748967,36200,95699,260960,192023,135998,124.845318547141,330.043429271902,899.989898565248,662.242337109881,469.025238446799,0,1,0,7/3/2020,0,1,1,1,0,900596,151629,522.932895192941,67.93,213.19329020309,237.696770542246,301.019244140855,409.086317529658,150.019740578137,56.7478720668824,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
45,Utah,54.4,57.7,34,27.93,21.23,3205958,14,1.2,78.3,31,37.23,None,40797,1,0,1,4753,9944,22746,52792,73042,5191,12802,18051,11995,20250,161.917280263809,399.319017903541,563.045429790409,374.147134803388,631.636471843986,0,1,0,4/10/2020,1,1,1,1, ,114656,41614,1298.02074762052,54.3,287.107487201812,590.009430736602,170.066879456085,255.929740813822,181.508644501609,73.5987637562767,0,0,1,0,1,1,0,0,0,0,0,0,0, ,0, 
46,Vermont,72.53333333,76.6,55.2,45.8,21.63,623989,1.9,1.2,92.8,43.1,65.13,Recommen,1414,0,1,3,866,981,1208,1629,1755,115,227,206,215,126,18.4298120639947,36.3788464219722,33.0134024798514,34.4557355979032,20.1926636527246,5/15/2020,0,0,8/1/2020,0,0,1,1,0,2157,402,64.424212606312,69.37,9.1784834785112,29.2837330028691,15.6616979990469,15.0060920362961,16.5358392827146,8.37718730181578,0,0,0,0,0,0,1,0,1,0,0,0,0, ,0, 
47,Virginia,79.43333333,77.13333333,49.7,40.57,25.03,8535519,9.3,18.8,61.7,38.3,199.13,Baseline,90801,0,0,2,16901,45398,62787,121615,148721,28497,17389,28014,30814,27106,333.86370530017,203.725163051011,328.204998430675,361.009096224846,317.567098145994,5/29/2020,0,0,5/29/2020,1,1,1,1,0,182393,33672,394.492707473324,64.8,144.348680975452,179.314867033329,164.095043738566,149.184090195762,92.6023468413685,151.756229681895,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
48,Washington,62.93333333,63.6,42.8,35.4,22.53,7614893,12.7,3.5,68.6,37.7,105.69,Recommen,55803,0,1,3,14327,21702,32824,74635,87522,7375,11122,22979,18832,12887,96.8496865287536,146.055893365803,301.763924982268,247.304853791117,169.234157328278,6/1/2020,0,0,6/26/2020,1,1,1,1,0,107501,19979,262.367442326504,66.7,76.9246169673989,119.257928330229,112.41129717778,137.165420446486,66.3890424390014,44.0225847857971,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0, 
49,West Virginia,63.06666667,60.4,39.87,36.3,22.57,1792147,1.3,3.9,92,42.8,74.53,Recommen,6642,0,1,3,1125,2010,2905,10250,15848,885,895,3737,3608,5598,49.3821098380881,49.9400997797614,208.520841203316,201.322770955731,312.36276934872,5/4/2020,0,1,7/7/2020,0,1,1,1,0,24460,8612,480.540937769056,58.4,141.983076976691,218.427698985934,91.5103504344231,94.782200546962,22.700045354437,22.4464135627673,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
50,Wisconsin,59.66666667,60.43333333,31.07,29.57,22.47,5822434,6.9,6.3,81.2,39.6,88.76,Recommen,56934,0,1,3,6854,18403,31662,80568,129123,11549,13259,25272,23634,48555,198.353472104622,227.722632837057,434.045280719369,405.912716228299,833.92959027101,5/13/2020,0,0,8/1/2020,0,0,1,1,0,237870,108747,1867.72404805276,59.33,379.058904668641,848.965476387616,184.505780103772,197.293309417895,103.510287653208,90.1606691384643,0,0,0,0,1,1,0,0,0,0,0,0,0, ,0, 
51,Wyoming,34.76666667,36.63333333,34,27.93,20.83,578759,10,.9, ,38.5,5.91,None,2726,1,0,1,559,903,1487,3842,5948,344,584,1239,1116,2106,59.4375206260291,100.905558272096,214.07874434782,192.826375054211,363.882030344237,0,1,0,0,0,0,0,0,0,13298,7350,1269.9586529108,31.6,165.400922883744,577.253933141271,87.6483522973685,97.3085201581,45.8661628509527,27.0170548300132,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
