"","housing_per_sq_mile","never","avg_prevalence","prop_poverty","p_nonwhite","prop_diabetes","chd_hosp","ob_prev_adj","hypertension_hosp","prop_edu_less_high_school","prop_uninsured","pop_per_sq_mile"
"27",74.2,0.067,0.0125786987963038,17,44.695880319887,10,91.7,39.1,177,13.8,12,179.2
"28",115,0.034,0.0193879886112121,21.5,44.8970063474771,9.5,91.1,33.4,190.3,10.7,12.3,257.9
"29",117.7,0.086,0.0180483783598383,16.5,27.4489954835695,12.3,70.4,33.4,148.1,15.5,12.7,270.7
"30",68.6,0.029,0.021308142837325,13.1,18.6387434554974,7.8,86.9,28.5,153.4,14.8,12,153.3
"31",172.6,0.009,0.00893902278377489,13.5,15.314373048556,7,48.7,22,106,9.2,11.3,362.9
"32",170.3,0.035,0.0171782029854712,12.7,23.6908453722613,8.8,54.6,30.4,111.2,16,13,387.1
"33",38.5,0.085,0.013848431446824,18.4,7.55029419018426,9.5,48.9,28.8,76.1,15.1,15.4,60.3
"34",207.8,0.028,0.0121355308960437,18.8,55.9940420666205,11.9,100.7,34.3,192.4,9.5,10.8,489.7
"35",69.1,0.074,0.0120447786756349,11.6,14.960335104018,13.3,71.6,35.8,148.3,12.7,12.3,156.1
"36",42.9,0.042,0.021442661486231,15.2,41.3740331032188,9.3,79.1,32.6,153.8,16.4,11.8,112.7
"37",146.6,0.014,0.0134762042581038,12.2,15.8983451536643,7.2,52,29.5,113.3,10.5,14.2,286.1
"38",94.7,0.066,0.0203004797638697,16.9,41.2728633730391,9.8,89.6,30.7,177.4,18,14.7,227
"39",78.2,0.044,0.0189488271707605,16.5,50,12.8,102.7,36.7,183.2,14.9,11.8,177.3
"40",55.6,0.062,0.02889376980548,27.8,74.2344365134149,14.9,123.3,37.8,249.5,22.9,18.4,141.3
"41",47.7,0.137,0.0228687927860531,27.6,55.8287848319449,16.7,96,35.5,178.5,21.6,13.4,113.4
"42",115.4,0.06,0.0150875218598985,9,27.4009359580854,8.1,66.6,30.1,142.8,10.2,9.9,318.7
"43",157,0.04,0.0178595903888067,16.1,35.7500781081016,11,76.9,31.9,141.2,15.1,13.9,356.5
"44",79.2,0.042,0.0201439484251057,24.2,60.3943295500426,8,92.5,36.4,191.6,21.8,12.4,179.2
"45",32.4,0.027,0.0274092687225154,21.4,36.2692970554802,12.5,91.2,31.6,165.9,22.1,15.4,56.5
"46",78,0.066,0.0170982315953765,14.4,20.3381908741481,9.7,74.2,33.8,153.5,19.4,15.3,181.1
"47",50.6,0.025,0.00708333306519995,16.6,8.73593453163817,6.6,30.7,27.2,56.1,12.5,14,87.4
"48",14,0.1,0.0232222025394029,24.4,64.9427099758226,17.6,69.2,37.9,154.5,23.9,12.8,30.4
"49",80.6,0.091,0.020940120494417,17.7,17.6085946316744,7,69.3,32.5,135,19.5,14.2,179.3
"50",79.9,0.028,0.0185626636651087,17.1,11.9104219239537,16.4,78.5,33.7,143,21.3,13.9,176.1
"51",93.4,0.062,0.0176810163302945,20.6,26.2983255671053,13.2,70.4,31.3,149.6,16,12,211.3
"52",31.5,0.068,0.0381079968257263,21.3,48.1803044719315,18.3,92.4,39.3,177.7,26.7,20.1,71.7
"53",30.1,0.02,0.0224456174696685,26.1,66.4651929498288,19.2,90.3,40.5,209,20,11.7,69.9
"54",68.5,0.109,0.0163254601716569,20.6,50.2661855080749,15.3,98.4,34.5,190.2,19.9,14,148.5
"55",47.2,0.075,0.0182214531073003,18.4,11.8465291054124,10.4,70.1,36.5,140.5,17.5,13.7,102.1
"56",21.8,0.017,0.0214986358640182,22.4,60.6881479975605,18.1,101.6,34.6,218.8,21.9,12,41.2
"57",29.8,0.037,0.0155705837614342,19,33.7581511926761,8.2,74.3,36,155.4,14.1,13,57.7
"58",30.9,0.072,0.0244761693964881,23.7,52.7936417285361,10.5,91.8,33.8,186.6,24.8,18.2,80.3
"59",46.4,0.01,0.010091967803958,15.4,33.2017110891741,7.4,84.4,30.7,156.6,14.7,12.5,100.6
"60",63.3,0.019,0.0168123962479651,17,15.7502640796131,12.1,87.2,31.8,156.2,21.7,15,138.4
"61",49.2,0.021,0.021927417446147,23.9,63.3592923757331,14,107.5,36.3,207,21.5,12,111.9
"62",28.3,0.036,0.0110250092035698,16.9,27.0078974817464,13.1,83.8,33.1,149.2,13.6,12.4,54.4
"63",48.1,0.018,0.0115401339102012,14.5,11.6103051768473,11,34.1,29.5,70.8,10.4,12.4,86.3
"64",34.4,0.153,0.0162747649807686,20.6,12.8572708538661,8.1,50.4,28.6,91.3,21.1,16.8,47.5
"65",25,0.06,0.0150160087344621,19.7,38.0562164067319,4.5,84.6,30.8,172.9,22.4,13.2,55.8
"66",27.8,0.179,0.0230189286628534,24.6,40.0754649177971,16.9,101.5,37.3,200.6,19.4,14.9,62
"67",55.2,0.157,0.00499868891827152,10.2,11.5137411347518,7.8,81.5,27.1,159.6,12.4,11.7,89.9
"68",35.6,0.014,0.0179936330095965,27,61.4782299205125,19.4,103.8,38.1,210.1,23.1,13.7,75.5
"69",22.4,0.036,0.0134597925705443,18.5,25.0039463299132,12,69.2,33.6,128.1,14,13.4,39.1
"70",18.6,0.113,0.0139263406258887,26.1,55.181718526014,14.2,59,35.4,117.8,22.6,12.7,38
"71",51.8,0.073,0.018355590164379,14,15.1959086913672,8.9,78.8,32.3,159.8,20.7,14.4,114.7
"72",62.3,0.027,0.0158320514056078,15,12.4889567103044,16.2,74,30.7,132.1,18.1,12.9,143.1
"73",60.1,0.045,0.0169439454344266,18.6,15.9683356777302,10.5,65.4,29.5,133.7,18.6,13.9,120.2
"74",21.8,0.053,0.0199014050989565,25.1,55.3241950395948,17,84.9,35.8,177.8,19.9,13.2,50.7
"75",33.2,0.099,0.00980309764204475,15.3,6.1764969925487,3.7,40.4,29.1,73.4,10.8,15.1,49.3
"76",25.4,0.084,0.0172896327381921,22.5,47.4659256318645,10,85.4,39.8,193.3,16.6,11.6,53.1
"77",77.3,0.125,0.0125858375203254,18.1,26.699746388797,12,83.1,35.2,160.8,18.8,13.6,165.6
"78",43.8,0.046,0.0179664174664082,16.8,12.3576002450516,11.3,87.8,33.3,174.3,21.7,14.9,91.9
"79",87.4,0.028,0.00701270045868828,10.9,11.3996876797896,8.2,45.3,23,83.8,6.8,12.9,88.5
"80",15.3,0.008,0.00950681495997185,15.2,35.3927244448285,12.2,91.5,35,198,14,11.3,35.8
"81",49,0.153,0.0130196801507251,16.4,10.3840158707666,10.3,35.2,31.3,59.8,12.5,16.6,65.8
"82",39.3,0.096,0.0119420965466479,16.4,7.52666666666667,14,44.5,29.8,75.7,17.3,13.3,70.4
"83",48.8,0.015,0.0103456630380829,12.4,8.01900279323465,11,82.2,30.2,164.8,16.9,11.7,105.6
"84",20.3,0.073,0.0229417546912294,26.4,44.658029526966,16.3,100.7,40.3,171,20.8,16.6,40.2
"85",42.3,0.044,0.0190390568768947,18.9,39.5110129018462,13.1,63.9,33.8,106,16.1,12.1,85.8
"86",63.1,0.077,0.00816834348730112,15.9,6.68699875748334,8.7,66.9,29.4,136.6,12.2,11.4,106.6
"87",40.7,0.149,0.0108367437781528,16.1,7.11202921538972,14.3,48.8,28.3,85.2,15.1,16.1,64
"88",27.6,0.027,0.0171519968184731,26.4,61.2005856515373,4.8,79.7,37.5,195.5,19.9,16.6,48.9
"89",30.7,0.05,0.0136885485852833,15,23.8698883562305,15,79.4,30.4,153.3,13.2,13.4,60
"90",43.8,0.05,0.0194610521987905,24.9,42.4176264842827,17.4,122.4,38.3,229,19.8,13.7,98.4
"91",10.3,0.064,0.0137191883192244,21.5,37.1173601743281,27.2,77.5,34.4,157.3,18.2,13.8,21.6
"92",52.9,0.077,0.0143990201642593,20.9,17.9241581461906,7,58.7,29.1,122.3,12,17.6,82.1
"93",5.3,0.054,0.0248021441400988,27.3,49.7458242556282,10.9,59.9,34.5,107.2,25.6,17.4,11.3
"94",23.6,0.016,0.00812575203176718,18.8,5.12796948950053,5.1,59.8,29.4,114.1,15.4,12.3,46.2
"95",17.1,0.091,0.00904405933675096,8.7,18.3846872082166,9.1,91.2,31.8,173.6,14.7,10.3,41.5
"96",20.3,0.095,0.0151730959844633,19.9,13.036303630363,5.1,60.8,31.9,115.6,18.2,16.7,30.3
"97",5.5,0.133,0.0211136823401851,22.3,39.3307839388145,18.1,64.4,30.9,129.6,20.6,14.3,9.5
"98",16.5,0.079,0.0128384133506174,16.7,36.7286767286767,11,72.8,29.1,143,19.6,18.1,26.5
"99",35.3,0.028,0.0125602253428555,19.1,7.34513768642127,15.3,41.9,29.5,82.6,16.8,14.4,57
"100",56.2,0.096,0.0221481645967928,19.7,10.9340188517566,16.4,53.3,29.6,91.5,19.5,18.5,72
